Date,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses","Depreciation, Amortization and Depletion",Depreciation and Amortization,Amortization,"Other Income/Expense, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expenses, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Capitalized,Interest Income,Net Investment Income,"Income from Associates, Joint Ventures and Other Participating Interests",Irregular Income/Expenses,Asset Disposals,Litigation Income/Expense,Restructuring and Reorganization Income/Expense,Disposal of Businesses,Other Irregular Income/Expenses,Merger and Acquisition Income/Expense,Impairment/Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income from Continuing Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Reported Total Revenue,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,EBITDA,_EVA,_CPPC,_Z_ALTMAN
2009,"9,008,000,000","15,327,000,000","15,327,000,000","-6,319,000,000",,"-5,393,000,000","-5,282,000,000",,,,"-111,000,000","3,615,000,000","-77,000,000","-77,000,000","-77,000,000","-88,000,000",,,"11,000,000",,,,,,,,,,,,"3,538,000,000","-1,141,000,000","2,397,000,000","2,397,000,000","-106,000,000","2,291,000,000","2,291,000,000","2,291,000,000","15,327,000,000","3,615,000,000",,,,,,,
2010,"9,204,000,000","15,564,000,000","15,564,000,000","-6,360,000,000",,"-5,715,000,000","-5,414,000,000",,,,"-301,000,000","3,489,000,000","-59,000,000","-59,000,000","-59,000,000","-65,000,000",,,"6,000,000",,,,,,,,,,,,"3,430,000,000","-1,117,000,000","2,313,000,000","2,313,000,000","-110,000,000","2,203,000,000","2,203,000,000","2,203,000,000","15,564,000,000","3,489,000,000","2,474,000,000",0,"3,796,000,000",,,,
2011,"9,590,000,000","16,734,000,000","16,734,000,000","-7,144,000,000",,"-5,749,000,000","-5,758,000,000",,,,"9,000,000","3,841,000,000","-52,000,000","-52,000,000","-52,000,000","-59,000,000",,,"7,000,000",,,,,,,,,,,,"3,789,000,000","-1,235,000,000","2,554,000,000","2,554,000,000","-123,000,000","2,431,000,000","2,431,000,000","2,431,000,000","16,734,000,000","3,841,000,000","2,473,000,000",0,"3,858,000,000",,,,
2012,"9,932,000,000","17,085,000,000","17,085,000,000","-7,153,000,000","-7,153,000,000","-5,960,000,000","-5,930,000,000","-31,000,000","-31,000,000","-31,000,000","1,000,000","3,972,000,000","-98,000,000","-15,000,000","-15,000,000","-80,000,000","-81,000,000","1,000,000","65,000,000","7,000,000","7,000,000","-90,000,000",0,"-7,000,000","-83,000,000",0,0,0,0,,"3,874,000,000","-1,243,000,000","2,631,000,000","2,631,000,000","-159,000,000","2,472,000,000","2,472,000,000","2,472,000,000","17,085,000,000","3,889,000,000","2,574,000,000",0,"4,023,000,000",,,,
2013,"10,201,000,000","17,420,000,000","17,420,000,000","-7,219,000,000","-7,219,000,000","-6,250,000,000","-6,223,000,000","-32,000,000","-32,000,000","-32,000,000","5,000,000","3,951,000,000","-386,000,000","9,000,000","9,000,000","-116,000,000","-119,000,000","3,000,000","125,000,000","5,000,000","5,000,000","-400,000,000","-3,000,000","-23,000,000","-202,000,000",0,"-172,000,000",0,,,"3,565,000,000","-1,155,000,000","2,410,000,000","2,410,000,000","-169,000,000","2,241,000,000","2,241,000,000","2,241,000,000","17,420,000,000","3,556,000,000","2,665,000,000",0,"4,140,000,000",,,,
2014,"10,109,000,000","17,277,000,000","17,277,000,000","-7,168,000,000","-7,168,000,000","-5,996,000,000","-5,982,000,000","-32,000,000","-32,000,000","-32,000,000","18,000,000","4,113,000,000","-580,000,000","-24,000,000","-24,000,000","-130,000,000","-134,000,000","4,000,000","106,000,000","7,000,000","7,000,000","-563,000,000",0,"-41,000,000","-195,000,000",,"-327,000,000",,,,"3,533,000,000","-1,194,000,000","2,339,000,000","2,339,000,000","-159,000,000","2,180,000,000","2,180,000,000","2,180,000,000","17,277,000,000","3,557,000,000","2,712,000,000",0,"4,215,000,000","3,238,000,000",,0.062,
2015,"9,399,000,000","16,034,000,000","16,034,000,000","-6,635,000,000","-6,635,000,000","-5,503,000,000","-5,464,000,000","-33,000,000","-33,000,000","-33,000,000","-6,000,000","3,896,000,000","-1,133,000,000","-26,000,000","-26,000,000","-133,000,000","-139,000,000","6,000,000","107,000,000","8,000,000","8,000,000","-1,115,000,000",0,"-14,000,000","-170,000,000","187,000,000","-1,118,000,000",,,,"2,763,000,000","-1,215,000,000","1,548,000,000","1,548,000,000","-164,000,000","1,384,000,000","1,384,000,000","1,384,000,000","16,034,000,000","2,789,000,000","2,556,000,000",0,"3,988,000,000","3,238,000,000",,0.0709,
2016,"9,123,000,000","15,195,000,000","15,195,000,000","-6,072,000,000","-6,072,000,000","-5,271,000,000","-5,249,000,000","-33,000,000","-33,000,000","-33,000,000","11,000,000","3,852,000,000","-114,000,000","-99,000,000","-99,000,000","-149,000,000","-155,000,000","6,000,000","50,000,000","10,000,000","10,000,000","-25,000,000","97,000,000","-17,000,000","-105,000,000",0,0,,,,"3,738,000,000","-1,152,000,000","2,586,000,000","2,586,000,000","-145,000,000","2,441,000,000","2,441,000,000","2,441,000,000","15,195,000,000","3,837,000,000","2,522,000,000",0,"3,985,000,000","4,398,000,000",,0.0609,
2017,"9,280,000,000","15,454,000,000","15,454,000,000","-6,174,000,000","-6,174,000,000","-5,533,000,000","-5,497,000,000","-35,000,000","-35,000,000","-35,000,000","-1,000,000","3,747,000,000","-260,000,000","-102,000,000","-102,000,000","-153,000,000","-156,000,000","3,000,000","51,000,000","11,000,000","11,000,000","-169,000,000",0,0,"-169,000,000",0,0,,,,"3,487,000,000","-1,313,000,000","2,174,000,000","2,174,000,000","-150,000,000","2,024,000,000","2,024,000,000","2,024,000,000","15,454,000,000","3,589,000,000","2,545,000,000",0,"3,922,000,000","4,182,000,000",,0.0607,
2018,"9,231,000,000","15,544,000,000","15,544,000,000","-6,313,000,000","-6,313,000,000","-5,459,000,000","-5,389,000,000","-59,000,000","-59,000,000","-59,000,000","-11,000,000","3,772,000,000","-308,000,000","-143,000,000","-143,000,000","-193,000,000","-195,000,000","2,000,000","50,000,000","10,000,000","10,000,000","-88,000,000",0,0,"-88,000,000",,,,,"-87,000,000","3,464,000,000","-906,000,000","2,558,000,000","2,558,000,000","-158,000,000","2,400,000,000","2,400,000,000","2,400,000,000","15,544,000,000","3,694,000,000","2,590,000,000",0,"3,846,000,000","4,205,000,000",,0.0631,
