Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,68.500000,70.110001,63.400002,63.400002,56.220737,55878500
2014-08-01,63.060001,65.699997,62.889999,64.730003,57.698311,69051100
2014-09-01,64.440002,66.360001,63.360001,65.220001,58.135086,72310400
2014-10-01,65.220001,67.120003,62.529999,66.879997,59.614754,86218600
2014-11-01,66.800003,69.900002,66.709999,69.589996,62.379002,44724700
2014-12-01,68.669998,71.309998,67.250000,69.190002,62.020466,62216800
2015-01-01,69.169998,69.459999,64.870003,67.519997,60.523510,77671100
2015-02-01,67.360001,71.290001,66.980003,70.820000,63.814697,51754600
2015-03-01,70.820000,71.559998,66.879997,69.339996,62.481068,66453100
2015-04-01,69.339996,70.440002,66.779999,67.279999,60.624866,54188000
2015-05-01,67.279999,69.279999,66.739998,66.790001,60.519260,54645000
2015-06-01,66.709999,67.570000,64.830002,65.410004,59.268814,71702200
2015-07-01,65.589996,69.230003,65.550003,68.019997,61.633778,64249000
2015-08-01,67.660004,69.300003,50.840000,62.810001,57.233711,76452400
2015-09-01,61.619999,64.129997,60.910000,63.459999,57.825996,96105300
2015-10-01,63.580002,69.440002,63.060001,66.349998,60.459423,72118800
2015-11-01,66.769997,68.110001,64.510002,65.680000,60.189976,63486700
2015-12-01,65.769997,68.489998,64.989998,66.620003,61.051411,68985500
2016-01-01,65.400002,67.650002,61.400002,67.529999,61.885345,91296100
2016-02-01,66.930000,68.389999,64.000000,65.639999,60.521587,71113700
2016-03-01,66.059998,71.250000,65.930000,70.650002,65.140930,70433200
2016-04-01,70.209999,71.790001,68.239998,70.919998,65.389862,70905000
2016-05-01,71.470001,72.720001,69.529999,70.410004,65.274895,64598400
2016-06-01,70.410004,73.199997,69.709999,73.199997,67.861397,66417000
2016-07-01,73.199997,75.330002,72.629997,74.430000,69.001694,64386900
2016-08-01,74.440002,75.379997,73.889999,74.339996,69.280647,50128700
2016-09-01,74.379997,75.349998,70.860001,74.139999,69.094254,70865300
2016-10-01,73.930000,74.070000,70.250000,71.360001,66.503464,61456700
2016-11-01,71.459999,71.730003,65.230003,65.230003,61.123116,81730200
2016-12-01,65.230003,67.300003,64.459999,65.440002,61.319901,68323800
2017-01-01,65.559998,68.500000,63.430000,64.580002,60.514046,88478100
2017-02-01,64.500000,75.089996,64.430000,72.980003,68.780464,109429700
2017-03-01,73.050003,74.440002,72.580002,73.190002,68.978386,79175600
2017-04-01,73.099998,74.879997,70.169998,72.040001,67.894562,65033600
2017-05-01,72.290001,76.860001,70.660004,76.360001,72.355125,95453800
2017-06-01,76.500000,77.269997,74.040001,74.129997,70.242088,59073800
2017-07-01,74.339996,74.589996,69.779999,72.199997,68.413315,68845300
2017-08-01,72.110001,72.349998,70.660004,71.639999,68.260704,59899700
2017-09-01,71.660004,73.910004,70.769997,72.849998,69.413612,57647100
2017-10-01,73.019997,76.099998,69.050003,70.449997,67.126846,80008000
2017-11-01,70.720001,73.830002,69.750000,72.449997,69.412109,70112200
2017-12-01,72.510002,75.720001,71.930000,75.449997,72.286308,60195000
2018-01-01,75.430000,77.910004,72.449997,74.239998,71.127052,88767800
2018-02-01,74.330002,74.629997,68.190002,68.970001,66.420837,77241000
2018-03-01,68.870003,72.290001,67.860001,71.680000,69.030678,80751400
2018-04-01,71.320000,72.610001,64.839996,65.230003,62.819069,94826200
2018-05-01,64.779999,65.389999,61.279999,63.090000,61.114277,105865700
2018-06-01,63.250000,65.669998,61.970001,64.809998,62.780407,94871300
2018-07-01,64.599998,67.919998,64.029999,67.010002,64.911514,78389000
2018-08-01,66.830002,68.430000,65.010002,66.410004,64.744705,64552600
2018-09-01,65.739998,69.290001,64.949997,66.949997,65.271164,57660400
2018-10-01,66.959999,67.800003,57.410000,59.549999,58.056725,118852700
2018-11-01,59.630001,63.990002,59.320000,63.520000,62.339165,109577700
2018-12-01,63.459999,65.879997,57.509998,59.520000,58.413528,100054300
2019-01-01,59.240002,64.849998,58.619999,64.680000,63.477604,104403100
2019-02-01,64.900002,67.470001,64.199997,65.870003,65.081924,72085600
2019-03-01,65.919998,68.610001,64.779999,68.540001,67.719978,71090200
2019-04-01,68.379997,72.849998,67.250000,72.790001,71.919136,67310600
2019-05-01,72.080002,73.099998,69.440002,69.620003,69.218170,65808500
2019-06-01,69.699997,74.250000,69.589996,71.669998,71.256332,67419100
2019-07-01,71.959999,76.410004,71.129997,71.739998,71.325928,73626700
2019-08-01,71.629997,74.550003,68.410004,74.199997,74.199997,64236100
