Date,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Total Operating Profit/Loss,"Non-Operating Income/Expenses, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Irregular Income/Expenses,Goodwill Impairment/Write Off,Disposal of Businesses,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income from Continuing Operations,Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Preferred/Other Stock Distribution,Preferred Stock Dividends,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Dilution to Earnings,Reported Total Revenue,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,EBITDA,_EVA,_CPPC,_Z_ALTMAN
2010,"41,019,000,000","78,938,000,000","78,938,000,000","-37,919,000,000",,"-24,998,000,000","-24,998,000,000","16,021,000,000","-974,000,000","-946,000,000","-946,000,000","-946,000,000",,"-28,000,000",,,,"15,047,000,000","-4,101,000,000","10,946,000,000","1,790,000,000",,,"12,736,000,000","-219,000,000","-219,000,000","12,517,000,000","12,517,000,000",,"78,938,000,000","16,021,000,000",,,,,,,
2011,"41,791,000,000","82,559,000,000","82,559,000,000","-40,768,000,000",,"-25,973,000,000","-25,973,000,000","15,818,000,000","-629,000,000","-831,000,000","-831,000,000","-831,000,000",,"202,000,000",,,,"15,189,000,000","-3,392,000,000","11,797,000,000",0,,,"11,797,000,000","-233,000,000","-233,000,000","11,564,000,000","11,564,000,000",,"82,559,000,000","15,818,000,000",,0,,,,,
2012,"41,289,000,000","83,680,000,000","83,680,000,000","-42,391,000,000","-42,391,000,000","-26,421,000,000","-26,421,000,000","14,868,000,000","-2,083,000,000","-769,000,000","-769,000,000","-769,000,000",,"-1,576,000,000","-1,576,000,000",,"262,000,000","12,785,000,000","-3,468,000,000","9,317,000,000","1,587,000,000","10,904,000,000","-148,000,000","10,756,000,000","-256,000,000","-256,000,000","10,500,000,000","10,756,000,000","256,000,000","83,680,000,000","13,292,000,000",,0,,,,,
2013,"41,739,000,000","84,167,000,000","84,167,000,000","-42,428,000,000","-42,428,000,000","-26,950,000,000","-26,950,000,000","14,789,000,000","54,000,000","-580,000,000","-580,000,000","-667,000,000","87,000,000","-308,000,000","-308,000,000",,"942,000,000","14,843,000,000","-3,441,000,000","11,402,000,000",0,"11,402,000,000","-90,000,000","11,312,000,000","-244,000,000","-244,000,000","11,068,000,000","11,312,000,000","244,000,000","84,167,000,000","14,481,000,000",,0,,,,,
2014,"40,602,000,000","83,062,000,000","83,062,000,000","-42,460,000,000","-42,460,000,000","-25,314,000,000","-25,314,000,000","15,288,000,000","-403,000,000","-609,000,000","-609,000,000","-709,000,000","100,000,000",0,0,,"206,000,000","14,885,000,000","-3,178,000,000","11,707,000,000","78,000,000","11,785,000,000","-142,000,000","11,643,000,000","-253,000,000","-253,000,000","11,390,000,000","11,643,000,000","253,000,000","83,062,000,000","15,288,000,000",,0,"16,089,000,000","18,735,000,000","7,547,000,000",0.0428,3.43
2015,"37,403,000,000","76,279,000,000","76,279,000,000","-38,876,000,000","-38,876,000,000","-23,585,000,000","-23,585,000,000","13,818,000,000","-1,972,000,000","-475,000,000","-475,000,000","-626,000,000","151,000,000","-2,028,000,000",0,"-2,028,000,000","531,000,000","11,846,000,000","-2,916,000,000","8,930,000,000","-1,786,000,000","7,144,000,000","-108,000,000","7,036,000,000","-259,000,000","-259,000,000","6,777,000,000","7,036,000,000","259,000,000","76,279,000,000","11,790,000,000","10,850,000,000",0,"13,864,000,000","15,606,000,000","6,145,000,000",0.0461,3.73
2016,"32,390,000,000","65,299,000,000","65,299,000,000","-32,909,000,000","-32,909,000,000","-18,949,000,000","-18,949,000,000","13,441,000,000","-72,000,000","-397,000,000","-397,000,000","-579,000,000","182,000,000",0,,0,"325,000,000","13,369,000,000","-3,342,000,000","10,027,000,000","577,000,000","10,604,000,000","-96,000,000","10,508,000,000","-255,000,000","-255,000,000","10,253,000,000","10,508,000,000","255,000,000","65,299,000,000","13,441,000,000","10,441,000,000",0,"14,047,000,000","17,026,000,000","4,992,000,000",0.0579,3.85
2017,"32,523,000,000","65,058,000,000","65,058,000,000","-32,535,000,000","-32,535,000,000","-18,568,000,000","-18,568,000,000","13,955,000,000","-698,000,000","-294,000,000","-294,000,000","-465,000,000","171,000,000",0,,0,"-404,000,000","13,257,000,000","-3,063,000,000","10,194,000,000","5,217,000,000","15,411,000,000","-85,000,000","15,326,000,000","-247,000,000","-247,000,000","15,079,000,000","15,326,000,000","247,000,000","65,058,000,000","13,955,000,000","10,732,000,000",0,"14,354,000,000","16,542,000,000","6,462,000,000",0.0492,4.20
2018,"32,564,000,000","66,832,000,000","66,832,000,000","-34,268,000,000","-34,268,000,000","-18,853,000,000","-18,853,000,000","13,711,000,000","-385,000,000","-259,000,000","-259,000,000","-506,000,000","247,000,000",,,,"-126,000,000","13,326,000,000","-3,465,000,000","9,861,000,000",,"9,861,000,000","-111,000,000","9,750,000,000","-265,000,000","-265,000,000","9,485,000,000","9,750,000,000","265,000,000","66,832,000,000","13,711,000,000","11,204,000,000",0,"14,450,000,000","16,666,000,000","6,494,000,000",0.0437,3.95
2019,"32,916,000,000","67,684,000,000","67,684,000,000","-34,768,000,000","-34,768,000,000","-19,084,000,000","-19,084,000,000","13,832,000,000","-7,763,000,000","-289,000,000","-289,000,000","-509,000,000","220,000,000","-8,345,000,000","-8,345,000,000",,"871,000,000","6,069,000,000","-2,103,000,000","3,966,000,000",0,"3,966,000,000","-69,000,000","3,897,000,000","-263,000,000","-263,000,000","3,634,000,000","3,634,000,000",,"67,684,000,000","5,487,000,000","11,877,000,000",0,"14,236,000,000",,,,
