Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,78.870003,81.910004,77.290001,77.320000,65.435493,163843000
2014-08-01,79.250000,83.830002,78.660004,83.110001,70.897026,156922800
2014-09-01,83.209999,85.400002,82.709999,83.739998,71.434448,149281200
2014-10-01,84.019997,87.360001,81.570000,87.269997,74.445717,221888900
2014-11-01,86.660004,90.559998,86.199997,90.430000,77.732651,136839600
2014-12-01,90.169998,93.889999,88.379997,91.089996,78.299980,142076100
2015-01-01,90.839996,91.790001,84.250000,84.290001,72.454781,170695100
2015-02-01,84.580002,86.779999,83.680000,85.129997,73.696968,151944800
2015-03-01,85.129997,85.440002,80.809998,81.940002,70.935394,201716100
2015-04-01,82.440002,84.199997,79.070000,79.510002,68.831741,169776700
2015-05-01,79.760002,81.209999,78.190002,78.389999,68.407913,136581700
2015-06-01,78.650002,81.220001,77.099998,78.239998,68.277016,188528800
2015-07-01,78.389999,82.550003,76.660004,76.699997,66.933113,180179300
2015-08-01,76.510002,77.089996,65.019997,70.669998,62.175892,239833200
2015-09-01,69.370003,73.379997,67.330002,71.940002,63.293243,229174600
2015-10-01,71.760002,78.449997,71.290001,76.379997,67.199585,202237100
2015-11-01,76.570000,77.419998,73.949997,74.839996,66.436371,146640000
2015-12-01,74.870003,81.230003,74.870003,79.410004,70.493240,207512900
2016-01-01,78.360001,82.000000,74.459999,81.690002,72.517204,229300200
2016-02-01,81.209999,83.000000,79.629997,80.290001,71.895561,192561100
2016-03-01,80.540001,83.870003,80.480003,82.309998,73.704346,215175400
2016-04-01,82.000000,83.839996,79.099998,80.120003,71.743332,161687300
2016-05-01,80.019997,82.889999,79.410004,81.040001,73.161140,137374900
2016-06-01,80.949997,84.800003,80.860001,84.669998,76.438217,160702400
2016-07-01,84.519997,86.889999,84.320000,85.589996,77.268784,145119200
2016-08-01,85.440002,88.500000,85.129997,87.309998,79.438759,185975600
2016-09-01,87.360001,90.220001,85.959999,89.750000,81.658783,846352000
2016-10-01,89.349998,90.330002,84.059998,86.800003,78.974739,376452700
2016-11-01,86.580002,87.690002,81.709999,82.459999,75.604820,202434100
2016-12-01,82.209999,85.739998,81.180000,84.080002,77.090126,174313100
2017-01-01,83.879997,87.980003,83.239998,87.599998,80.317497,193158900
2017-02-01,87.029999,91.800003,86.750000,91.070000,84.160294,196203300
2017-03-01,91.050003,92.000000,89.589996,89.849998,83.032860,199174700
2017-04-01,89.860001,91.129997,87.150002,87.330002,80.704048,136581600
2017-05-01,87.379997,88.349998,85.519997,88.089996,82.029388,138172700
2017-06-01,88.019997,90.209999,86.930000,87.150002,81.154060,143596200
2017-07-01,87.400002,91.070000,86.309998,90.820000,84.571556,122105100
2017-08-01,91.029999,92.959999,90.519997,92.269997,86.595490,131332200
2017-09-01,92.419998,94.669998,90.339996,90.980003,85.384819,138824900
2017-10-01,91.260002,93.510002,85.720001,86.339996,81.030182,179372200
2017-11-01,86.330002,90.370003,85.419998,89.989998,85.088203,123550900
2017-12-01,90.180000,93.139999,89.120003,91.879997,86.875252,130696800
2018-01-01,91.919998,91.930000,86.080002,86.339996,81.637024,190676000
2018-02-01,86.150002,86.500000,78.500000,78.519997,74.808640,224924600
2018-03-01,78.400002,80.750000,75.809998,79.279999,75.532722,211186000
2018-04-01,79.260002,79.519997,71.949997,72.339996,68.920731,277451300
2018-05-01,72.050003,75.019997,70.730003,73.169998,70.356781,184831100
2018-06-01,73.330002,78.709999,72.860001,78.059998,75.058769,191430600
2018-07-01,77.500000,80.980003,77.419998,80.879997,77.770348,167374200
2018-08-01,80.419998,84.199997,80.110001,82.949997,80.484848,147692700
2018-09-01,82.480003,86.279999,81.250000,83.230003,80.756523,137121300
2018-10-01,83.309998,90.699997,78.489998,88.680000,86.044556,273769800
2018-11-01,88.809998,94.809998,88.180000,94.510002,92.511818,214198200
2018-12-01,94.669998,96.900002,86.739998,91.919998,89.976578,224359900
2019-01-01,91.029999,96.809998,89.080002,96.470001,94.430382,225455800
2019-02-01,96.349998,100.449997,95.989998,98.550003,97.229599,176165700
2019-03-01,98.610001,104.150002,97.750000,104.050003,102.655914,180275300
2019-04-01,104.230003,107.199997,102.129997,106.480003,105.053352,148284900
2019-05-01,106.150002,108.680000,102.410004,102.910004,102.247841,139582600
2019-06-01,103.150002,112.629997,102.400002,109.650002,108.944473,151126800
2019-07-01,109.919998,121.760002,109.610001,118.040001,117.280487,166952300
2019-08-01,118.559998,119.169998,115.690002,116.440002,116.440002,23518400
