Date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,Property,Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
2018-06-30,2569000000.0,9281000000.0,11850000000.0,4686000000.0,4738000000.0,94990000000.0, Plant & Equipment Net,69077000000.0,0.0,0.0,37190000000.0,118310000000.0,10344000000.0,10423000000.0,28237000000.0,20863000000.0,31286000000.0,0.0,6163000000.0,0.0,37190000000.0,65427000000.0,-14749000000.0,98641000000.0,52883000000.0,9281000000.0,19436000000.0,2046000000.0,7470000000.0
2017-06-30,5569000000.0,9568000000.0,15137000000.0,4594000000.0,4624000000.0,93912000000.0,20600000000.0,68886000000.0,0.0,0.0,34418000000.0,120406000000.0,9632000000.0,13554000000.0,30210000000.0,18038000000.0,31592000000.0,0.0,8126000000.0,0.0,34418000000.0,64628000000.0,-14632000000.0,96124000000.0,55778000000.0,9568000000.0,16455000000.0,2139000000.0,7024000000.0
2016-06-30,7102000000.0,6246000000.0,13348000000.0,4373000000.0,4716000000.0,93354000000.0,19893000000.0,68877000000.0,0.0,1507000000.0,38383000000.0,127136000000.0,9325000000.0,11653000000.0,30770000000.0,18945000000.0,30598000000.0,0.0,9113000000.0,0.0,38383000000.0,69153000000.0,-15907000000.0,87953000000.0,57983000000.0,6246000000.0,17250000000.0,11345000000.0,9792000000.0
2015-06-30,6836000000.0,4767000000.0,11603000000.0,4568000000.0,4979000000.0,99849000000.0,19385000000.0,69632000000.0,0.0,1356000000.0,36655000000.0,129495000000.0,8138000000.0,12018000000.0,29790000000.0,18327000000.0,30345000000.0,0.0,9179000000.0,0.0,36655000000.0,66445000000.0,-12780000000.0,84807000000.0,63050000000.0,4767000000.0,18742000000.0,8496000000.0,9634000000.0
2014-06-30,8558000000.0,2128000000.0,10686000000.0,6386000000.0,6759000000.0,112649000000.0,19655000000.0,84547000000.0,0.0,1092000000.0,40564000000.0,144266000000.0,8461000000.0,15606000000.0,33726000000.0,19811000000.0,35417000000.0,0.0,10218000000.0,0.0,40564000000.0,74290000000.0,-7662000000.0,84990000000.0,69976000000.0,2128000000.0,24731000000.0,7786000000.0,9659000000.0
2013-06-30,5947000000.0,0.0,5947000000.0,6508000000.0,6909000000.0,115273000000.0,22304000000.0,86760000000.0,0.0,948000000.0,40517000000.0,139263000000.0,8777000000.0,12432000000.0,30037000000.0,19111000000.0,31543000000.0,0.0,10827000000.0,0.0,40517000000.0,70554000000.0,-7499000000.0,80197000000.0,68709000000.0,0.0,25596000000.0,4626000000.0,8828000000.0
2012-06-30,4436000000.0,0.0,4436000000.0,6068000000.0,6721000000.0,110334000000.0,21666000000.0,84761000000.0,0.0,1001000000.0,43302000000.0,132244000000.0,7920000000.0,8698000000.0,24907000000.0,21080000000.0,29778000000.0,0.0,10132000000.0,0.0,43302000000.0,68209000000.0,-9333000000.0,75349000000.0,64035000000.0,0.0,25342000000.0,4685000000.0,8289000000.0
2011-06-30,2768000000.0,0.0,2768000000.0,6275000000.0,7379000000.0,116384000000.0,20377000000.0,90182000000.0,0.0,1140000000.0,43060000000.0,138354000000.0,8022000000.0,9981000000.0,27293000000.0,22033000000.0,32014000000.0,0.0,11070000000.0,0.0,43060000000.0,70353000000.0,-2054000000.0,70682000000.0,68001000000.0,0.0,29246000000.0,5548000000.0,9290000000.0
2010-06-30,2879000000.0,0.0,2879000000.0,5335000000.0,6384000000.0,109390000000.0,21293000000.0,85648000000.0,0.0,990000000.0,42451000000.0,128172000000.0,7251000000.0,8472000000.0,24282000000.0,21360000000.0,29832000000.0,0.0,10902000000.0,0.0,42451000000.0,66733000000.0,-7822000000.0,64614000000.0,61439000000.0,0.0,26953000000.0,4184000000.0,8559000000.0
2009-06-30,4781000000.0,0.0,4781000000.0,5836000000.0,6880000000.0,112928000000.0,19244000000.0,89118000000.0,0.0,1209000000.0,40550000000.0,134833000000.0,5980000000.0,16320000000.0,30901000000.0,20652000000.0,36972000000.0,0.0,10752000000.0,0.0,40550000000.0,71451000000.0,-3358000000.0,57309000000.0,63382000000.0,0.0,32191000000.0,4408000000.0,8601000000.0
