Date,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,Other Short Term Investments,"Available-for-Sale Securities, Current",Inventories,"Raw Materials, Consumables and Supplies",Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Taxes Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Loans Receivable, Current","Prepayments and Deposits, Current","Assets Held for Sale/Discontinued Operations, Current","Derivative Investment and Hedging Assets, Current","Deferred Tax Assets, Current","Deferred Costs/Assets, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,"Machinery, Furniture and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,"Accumulated Depreciation of Machinery, Furniture and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Software and Technology,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Goodwill,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Other Intangible Assets,Biological Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,Investments in Joint Ventures,"Investment in Financial Assets, Non-Current","Financial Assets Designated as Fair Value Through Profit or Loss, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Held-to-Maturity Securities, Non-Current","Derivative Investment and Hedging Assets, Non-Current","Trade and Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Loans Receivable, Non-Current","Cash Restricted or Pledged, Non-Current","Deferred Tax Assets, Non-Current","Pension and Other Employee Benefits, Non-Current","Prepayments and Deposits, Non-Current","Prepayments, Non-Current","Deferred Costs/Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt",Other Current Portion of LT Debt,"Capital Lease Obligations, Current",Current Debt,"Derivative and Hedging Liabilities, Current","Provisions, Current","Other Provisions, Current","Liabilities Held for Sale/Discontinued Operations, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Bank/Institutional Loans, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Taxes Payable, Non-Current","Accrued Expenses, Non-Current",Other Non-Current Liabilities,Preferred Securities Outside Stock Equity,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value",Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum. Comp. Inc,Other Equity Interest,Non-Controlling/Minority Interests,Common Shares Issued,Common Shares Outstanding,Common Shares Treasury
2008,"36,142,000,000","11,175,000,000","2,561,000,000","2,561,000,000",,,,,,"3,889,000,000","1,437,000,000","2,452,000,000","3,443,000,000","2,788,000,000",,,,,"655,000,000",,"380,000,000","36,000,000",,"234,000,000",0,"632,000,000","24,967,000,000","5,957,000,000","12,359,000,000","2,840,000,000","2,840,000,000","9,519,000,000","-6,402,000,000","-6,402,000,000",,,"16,091,000,000","16,091,000,000","11,665,000,000","4,426,000,000",,"4,426,000,000",,,,,,,,"140,000,000",,,,,,,,,,"180,000,000",,,,"1,068,000,000","425,000,000",,,0,"1,106,000,000","25,770,000,000","13,800,000,000","8,201,000,000","5,481,000,000","3,873,000,000","377,000,000","1,231,000,000","2,720,000,000","4,842,000,000","4,842,000,000",,,,,,"4,842,000,000",,"757,000,000",,,,"11,970,000,000","6,363,000,000","6,363,000,000","6,363,000,000",,,,,"4,453,000,000","3,807,000,000","3,807,000,000","646,000,000","790,000,000","790,000,000",,,,,"364,000,000",,"10,372,000,000","9,948,000,000","605,000,000","605,000,000","484,000,000",,"121,000,000","15,812,000,000",,,"-6,469,000,000","424,000,000","1,283,459,367","1,283,459,367",0
2009,"37,016,000,000","10,811,000,000","3,614,000,000","2,642,000,000",,,"972,000,000",,,"3,578,000,000","1,298,000,000","2,280,000,000","3,429,000,000","3,429,000,000",,,,,,,,"17,000,000",,"173,000,000",0,,"26,205,000,000","6,644,000,000","13,645,000,000","3,237,000,000","3,237,000,000","10,408,000,000","-7,001,000,000","-7,001,000,000",,,"17,047,000,000","17,047,000,000","12,464,000,000","4,583,000,000",,"4,583,000,000",,,,,,,,,,,,,,,,,,,,,,"738,000,000","759,000,000",,,0,"1,017,000,000","24,480,000,000","11,599,000,000","8,900,000,000","8,900,000,000","8,413,000,000","487,000,000",,,"2,279,000,000","2,279,000,000",,,,,,"2,279,000,000",,"420,000,000",,,,"12,881,000,000","7,692,000,000","7,692,000,000","7,692,000,000",,,,,"4,070,000,000","3,341,000,000","3,341,000,000","729,000,000","764,000,000","764,000,000",,,,,"355,000,000",,"12,536,000,000","12,065,000,000","615,000,000","615,000,000","484,000,000",,"131,000,000","17,350,000,000",,,"-5,900,000,000","471,000,000","1,283,459,367","1,283,459,367",0
2010,"41,167,000,000","12,484,000,000","1,555,000,000","1,428,000,000","732,000,000","696,000,000","127,000,000",,"127,000,000","4,309,000,000","1,554,000,000","2,755,000,000","4,436,000,000","2,541,000,000","2,658,000,000","-117,000,000","298,000,000","622,000,000","972,000,000","3,000,000","888,000,000","876,000,000","420,000,000",,,,"28,683,000,000","7,854,000,000","15,418,000,000","3,582,000,000",,"11,836,000,000","-7,564,000,000","-7,564,000,000","-1,209,000,000","-6,355,000,000","18,278,000,000","20,495,000,000","14,185,000,000","6,310,000,000","899,000,000","5,411,000,000","-2,217,000,000","-2,217,000,000","-1,007,000,000","-1,210,000,000","-435,000,000","-775,000,000","34,000,000","598,000,000","89,000,000","45,000,000","44,000,000","509,000,000","103,000,000","406,000,000","406,000,000",,,"156,000,000","154,000,000","2,000,000","246,000,000","607,000,000","910,000,000",,,,,"26,089,000,000","13,606,000,000","10,865,000,000","7,547,000,000","6,017,000,000","1,041,000,000","489,000,000","3,318,000,000","2,276,000,000","2,276,000,000","2,276,000,000",,,,,,,"408,000,000","408,000,000","57,000,000",,"12,483,000,000","7,258,000,000","7,258,000,000",,,,,,"3,866,000,000","2,980,000,000","2,980,000,000","886,000,000","880,000,000","880,000,000","293,000,000","184,000,000","184,000,000","109,000,000","186,000,000",,"15,078,000,000","14,485,000,000","618,000,000","618,000,000","484,000,000","484,000,000","134,000,000","19,273,000,000","-5,406,000,000","-5,406,000,000",,"593,000,000","1,283,459,367","1,283,459,367",0
2011,"47,512,000,000","14,291,000,000","2,694,000,000","1,241,000,000","1,139,000,000","102,000,000","1,453,000,000","1,453,000,000",,"4,601,000,000","1,584,000,000","3,017,000,000","4,732,000,000","2,897,000,000",,,"219,000,000","591,000,000","1,025,000,000",,"2,243,000,000","21,000,000",,,,,"33,221,000,000","8,774,000,000","16,467,000,000","3,875,000,000",,"12,592,000,000","-7,693,000,000","-7,693,000,000","-1,237,000,000","-6,456,000,000","21,913,000,000","24,353,000,000","15,929,000,000","8,424,000,000","1,152,000,000","7,272,000,000","-2,440,000,000","-2,440,000,000","-1,033,000,000","-1,407,000,000","-561,000,000","-846,000,000",,"569,000,000","93,000,000","45,000,000","48,000,000","476,000,000","63,000,000","413,000,000","413,000,000",,,"173,000,000","171,000,000","2,000,000","336,000,000","421,000,000","1,003,000,000","32,000,000","32,000,000",,,"32,591,000,000","17,929,000,000","11,696,000,000","8,364,000,000","6,767,000,000","1,122,000,000","475,000,000","3,332,000,000","5,840,000,000","5,739,000,000","5,739,000,000","5,723,000,000","2,073,000,000","3,650,000,000","16,000,000",,"101,000,000","393,000,000","393,000,000",0,0,"14,662,000,000","7,810,000,000","7,787,000,000","7,599,000,000","6,935,000,000","664,000,000","188,000,000","23,000,000","5,114,000,000","4,206,000,000","4,206,000,000","908,000,000","1,125,000,000","1,125,000,000","373,000,000","258,000,000","258,000,000","115,000,000","172,000,000","68,000,000","14,921,000,000","14,293,000,000","621,000,000","621,000,000","484,000,000","484,000,000","137,000,000","19,676,000,000","-6,004,000,000","-6,004,000,000",,"628,000,000","1,283,459,367","1,283,459,367",0
2012,"46,166,000,000","12,147,000,000","1,371,000,000","970,000,000","831,000,000","139,000,000","401,000,000","401,000,000",,"4,436,000,000","1,517,000,000","2,919,000,000","4,653,000,000","2,793,000,000",,,"217,000,000","549,000,000","1,094,000,000",,"1,495,000,000","192,000,000",,,,,"34,019,000,000","9,445,000,000","17,509,000,000","4,006,000,000",,"13,503,000,000","-8,064,000,000","-8,064,000,000","-1,286,000,000","-6,778,000,000","21,718,000,000","24,321,000,000","15,635,000,000","8,686,000,000","1,480,000,000","7,206,000,000","-2,603,000,000","-2,603,000,000","-1,016,000,000","-1,587,000,000","-708,000,000","-879,000,000","29,000,000","617,000,000","83,000,000","51,000,000","32,000,000","534,000,000","27,000,000","507,000,000","504,000,000","3,000,000",0,"173,000,000","172,000,000","1,000,000","252,000,000","1,113,000,000","672,000,000",,,,,"30,450,000,000","15,815,000,000","12,797,000,000","9,338,000,000","7,084,000,000","1,548,000,000","706,000,000","3,459,000,000","2,656,000,000","2,656,000,000","2,656,000,000",,,,,,,"361,000,000","361,000,000","1,000,000",,"14,635,000,000","7,497,000,000","7,463,000,000","7,276,000,000","6,511,000,000","765,000,000","187,000,000","34,000,000","5,177,000,000","4,331,000,000","4,331,000,000","846,000,000","1,393,000,000","1,393,000,000","157,000,000","100,000,000","100,000,000","57,000,000","343,000,000","68,000,000","15,716,000,000","15,159,000,000","624,000,000","624,000,000","484,000,000","484,000,000","140,000,000","20,731,000,000","-6,196,000,000","-6,196,000,000",,"557,000,000","1,283,459,367","1,283,459,367","26,696,994"
2014,"48,027,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,651,000,000",,,,,,,,,,,,,
2015,"52,298,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,439,000,000",,,,,,,,,,,,,
2016,"56,429,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,355,000,000",,,,,,,,,,,,,
2017,"60,285,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,629,000,000",,,,,,,,,,,,,
2018,"59,456,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,572,000,000",,,,,,,,,,,,,
