Date,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Pension and Other Employee Benefits Costs,General and Administrative Expenses,Selling and Marketing Expenses,Research and Development Expenses,"Other Income/Expense, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expenses, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,"Income from Associates, Joint Ventures and Other Participating Interests",Share of Profit and Interest from Associates,Share of Profit and Interest from Joint Ventures,Gain/Loss on Foreign Exchange,Gain/Loss on Derivatives,Irregular Income/Expenses,Other Irregular Income/Expenses,Other Irregular Income,Other Irregular Expenses,Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income from Continuing Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Discontinued Operations,Reported Total Revenue,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Tax Effect of Irregular Items,Reported Normalized Operating Profit,"Rent Expense, Supplemental","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental","Research and Development Expenses, Supplemental","Irregular Items, Supplemental","Disposal of Businesses, Supplemental","Asset Disposals, Supplemental","Impairment/Write Off/Write Down of Other Assets, Supplemental","Litigation Income/Expense, Supplemental","Merger and Acquisition Income/Expense, Supplemental","Restructuring and Reorganization Expense, Supplemental","Other Irregular Income/Expenses, Supplemental","Stock-Based Compensation, Supplemental","Auditor Fees, Supplemental","Non-Audit Fees Paid to Auditor, Supplemental"
2009,"19,243,000,000","39,823,000,000","39,823,000,000","-20,580,000,000",,"-14,223,000,000","-9,468,000,000",,,,"-9,468,000,000","-891,000,000","-3,864,000,000",,"5,020,000,000","-104,000,000","-429,000,000","-429,000,000","-504,000,000","75,000,000",,,"115,000,000","115,000,000",,,,,"210,000,000",,,,"4,916,000,000","-1,257,000,000",,,"3,659,000,000","3,659,000,000","-289,000,000","3,370,000,000","3,370,000,000","3,370,000,000",0,"39,823,000,000","5,020,000,000",,0,,"5,888,000,000",,,,,,,,,,,,,,,,,
2010,"21,208,000,000","44,262,000,000","44,262,000,000","-23,054,000,000","-23,054,000,000","-14,849,000,000","-11,710,000,000","20,000,000","20,000,000","-11,730,000,000",,"-928,000,000","-2,211,000,000","-2,211,000,000","6,359,000,000","-227,000,000","-408,000,000","-402,000,000","-479,000,000","77,000,000","-6,000,000","-6,000,000","105,000,000","111,000,000","-9,000,000","120,000,000",,"-6,000,000","76,000,000","76,000,000","76,000,000",,"6,132,000,000","-1,534,000,000",,,"4,598,000,000","4,598,000,000","-354,000,000","4,244,000,000","4,244,000,000","4,244,000,000",,"44,262,000,000",,,0,,"6,620,000,000","-469,000,000","-993,000,000","-993,000,000","-819,000,000","-174,000,000",,"-193,000,000","468,000,000",,,,"-50,000,000","-611,000,000",,,"-18,000,000","-6,000,000"
2011,"18,537,000,000","46,467,000,000","46,467,000,000","-27,930,000,000","-27,930,000,000","-12,033,000,000","-12,033,000,000","71,000,000","71,000,000","-12,104,000,000",,,,,"6,504,000,000","-259,000,000","-444,000,000","-439,000,000","-531,000,000","92,000,000","-5,000,000","-5,000,000","109,000,000","113,000,000",,,,"-4,000,000","76,000,000","76,000,000","76,000,000",,"6,245,000,000","-1,622,000,000",,,"4,623,000,000","4,623,000,000","-371,000,000","4,252,000,000","4,252,000,000","4,252,000,000",,"46,467,000,000",,"4,114,000,000",0,,"6,289,000,000","-459,000,000","-1,029,000,000","-1,029,000,000","-838,000,000","-191,000,000","-1,009,000,000","-871,000,000","221,000,000","-215,000,000",,,"-234,000,000","-643,000,000",,,"-18,000,000","-4,000,000"
2012,"20,621,000,000","51,324,000,000","51,324,000,000","-30,703,000,000","-30,703,000,000","-13,639,000,000","-13,639,000,000","-7,000,000","-7,000,000","-13,632,000,000",,,,,"6,982,000,000","-299,000,000","-388,000,000","-384,000,000","-520,000,000","136,000,000","-4,000,000","-4,000,000","103,000,000","105,000,000",,,,"-2,000,000","-14,000,000","-14,000,000","-14,000,000",,"6,683,000,000","-1,735,000,000","-2,032,000,000","297,000,000","4,948,000,000","4,948,000,000","-468,000,000","4,480,000,000","4,480,000,000","4,480,000,000",,"51,324,000,000",,"4,567,000,000",0,,"7,062,000,000","-566,000,000","-1,199,000,000","-1,199,000,000","-986,000,000","-213,000,000","-1,003,000,000","-326,000,000","117,000,000","-236,000,000",0,,"-190,000,000","-17,000,000",,,"-20,000,000","-1,000,000"
2013,"20,552,000,000","49,797,000,000","49,797,000,000","-29,245,000,000","-29,245,000,000","-13,168,000,000","-13,168,000,000","-133,000,000","-133,000,000","-13,035,000,000",,,,,"7,384,000,000","-270,000,000","-394,000,000","-390,000,000","-493,000,000","103,000,000","-4,000,000","-4,000,000","110,000,000","113,000,000",,,"-3,000,000",,"14,000,000","14,000,000","14,000,000",,"7,114,000,000","-1,851,000,000","-2,088,000,000","237,000,000","5,263,000,000","5,263,000,000","-421,000,000","4,842,000,000","4,842,000,000","4,842,000,000",,"49,797,000,000",,"4,607,000,000",0,,"7,016,000,000","-528,000,000","-1,151,000,000","-1,151,000,000","-984,000,000","-167,000,000","-1,040,000,000","-242,000,000","733,000,000","-725,000,000",,"-120,000,000","-112,000,000","-18,000,000",,,"-19,000,000","-2,000,000"
2014,"20,049,000,000","48,436,000,000","48,436,000,000","-28,387,000,000","-28,387,000,000","-12,163,000,000","-11,208,000,000","-94,000,000","-94,000,000","-3,948,000,000","-7,166,000,000","-955,000,000",,,"7,886,000,000","-240,000,000","-369,000,000","-365,000,000","-482,000,000","117,000,000","-4,000,000","-4,000,000","84,000,000","98,000,000",,,"-14,000,000",,"45,000,000","45,000,000","45,000,000",,"7,646,000,000","-2,131,000,000","-2,043,000,000","-88,000,000","5,515,000,000","5,515,000,000","-344,000,000","5,171,000,000","5,171,000,000","5,171,000,000",,"48,436,000,000",,"4,634,000,000",0,,"3,325,000,000","-1,088,000,000","-1,127,000,000","-1,127,000,000","-947,000,000","-180,000,000","-955,000,000","-557,000,000","1,392,000,000","-1,460,000,000","-335,000,000","-30,000,000","-97,000,000","-27,000,000",,,"-14,000,000",
2015,"22,464,000,000","53,272,000,000","53,272,000,000","-30,808,000,000","-30,808,000,000","-15,070,000,000","-14,065,000,000","-121,000,000","-121,000,000","-5,941,000,000","-8,003,000,000","-1,005,000,000",,,"7,394,000,000","-174,000,000","-408,000,000","-404,000,000","-548,000,000","144,000,000","-4,000,000","-4,000,000","143,000,000","107,000,000",,,"36,000,000",,"91,000,000","91,000,000","91,000,000",,"7,220,000,000","-1,961,000,000","-2,049,000,000","88,000,000","5,259,000,000","5,259,000,000","-350,000,000","4,909,000,000","4,909,000,000","4,909,000,000",,"53,272,000,000",,"5,210,000,000",0,,"7,865,000,000","-1,080,000,000","-1,370,000,000","-1,370,000,000","-1,097,000,000","-273,000,000","-1,005,000,000","-419,000,000","-9,000,000","26,000,000","-236,000,000","-86,000,000","-105,000,000","-9,000,000",,,"-14,000,000",
2016,"22,484,000,000","52,713,000,000","52,713,000,000","-30,229,000,000","-30,229,000,000","-14,777,000,000","-13,799,000,000","-94,000,000","-94,000,000","-5,974,000,000","-7,731,000,000","-978,000,000",,,"7,707,000,000","-238,000,000","-457,000,000","-453,000,000","-568,000,000","115,000,000","-4,000,000","-4,000,000","115,000,000","127,000,000",,,"-12,000,000",,"104,000,000","104,000,000","104,000,000",,"7,469,000,000","-1,922,000,000","-1,868,000,000","-54,000,000","5,547,000,000","5,547,000,000","-363,000,000","5,184,000,000","5,184,000,000","5,184,000,000",,"52,713,000,000","7,801,000,000","5,370,000,000",0,,"8,046,000,000","-531,000,000","-1,464,000,000","-1,464,000,000","-1,154,000,000","-310,000,000",,"-372,000,000","-95,000,000","-127,000,000","-18,000,000",,"-132,000,000",,,,"-13,000,000","-1,000,000"
2017,"23,168,000,000","53,715,000,000","53,715,000,000","-30,547,000,000","-30,547,000,000","-14,407,000,000","-13,507,000,000","-96,000,000","-96,000,000","-5,845,000,000","-7,566,000,000","-900,000,000",,,"8,761,000,000","-608,000,000","-412,000,000","-408,000,000","-565,000,000","157,000,000","-4,000,000","-4,000,000","168,000,000","155,000,000",,,"13,000,000",,"-364,000,000","-364,000,000","18,000,000","-382,000,000","8,153,000,000","-1,667,000,000","-2,419,000,000","752,000,000","6,486,000,000","6,486,000,000","-433,000,000","6,053,000,000","6,053,000,000","6,053,000,000",,"53,715,000,000",,"6,315,000,000",0,,"9,400,000,000","-557,000,000","-1,538,000,000","-1,538,000,000","-1,173,000,000","-365,000,000",,"11,000,000","334,000,000","298,000,000",0,"-80,000,000","-159,000,000",,"-382,000,000",,"-24,000,000","-5,000,000"
2018,"22,213,000,000","50,982,000,000","50,982,000,000","-28,769,000,000","-28,769,000,000","-9,703,000,000","-8,803,000,000","-25,000,000","-25,000,000","-1,614,000,000","-7,164,000,000","-900,000,000",,,"12,510,000,000","-127,000,000","-469,000,000","-469,000,000","-604,000,000","135,000,000",0,0,"320,000,000","185,000,000",,,"135,000,000",,"22,000,000","22,000,000","22,000,000",0,"12,383,000,000","-2,575,000,000","-2,657,000,000","82,000,000","9,808,000,000","9,808,000,000","-419,000,000","9,389,000,000","9,389,000,000","9,389,000,000",,"101,964,000,000","12,535,000,000","6,365,000,000",0,"-29,000,000","9,359,000,000","-568,000,000","-1,747,000,000","-1,747,000,000","-1,191,000,000","-556,000,000",,"7,486,000,000","4,331,000,000","4,299,000,000","-208,000,000","-98,000,000","76,000,000","-914,000,000",0,"-196,000,000","-16,000,000","-5,000,000"
